0,1181,2207,2999,1873,2474,31413,29319,22154,1837,21753,22601,21785
1665,0,1233,2025,1515,2117,31556,29463,22297,2157,21896,22744,21928
2287,1673,0,1268,1491,2232,31648,29555,22390,2779,21988,22837,22021
3126,2512,1296,0,2330,2802,32907,30813,23648,3618,23247,24095,23279
1893,1533,1563,2355,0,1545,31905,29811,22646,2384,22245,23093,22277
2555,2196,1827,2418,1082,0,33174,31081,23916,3047,23514,24362,23547
31016,31557,31359,32790,31657,33308,0,6382,13010,32213,12911,13457,12943
29200,29742,29543,30975,29842,31493,6444,0,15531,30398,15432,15978,15464
22113,22654,22456,23887,22754,24405,13994,15766,0,23310,636,892,668
1834,1748,2774,3566,2440,3041,32485,30392,23227,0,22825,23673,22858
21910,22452,22253,23685,22552,24203,13791,15563,854,23108,0,1259,32
22138,22680,22481,23912,22780,24430,13992,15764,1019,23336,1378,0,1410
21878,22419,22221,23652,22520,24170,13759,15531,822,23076,401,1227,0
